,artist,rank,title
3569,Brothers Uv Da Blakmarket,20,Livin' In Da Bottle
3570,Redman,21,Blow Your Mind
3571,M.C. Brains,22,Brainstorming/G-String
3572,M.C. Breed,23,Ain't Too Much Worried
3573,Nice & Smooth,24,Cake & Eat It Too
3574,Main Source,25,Fakin' The Funk
3575,Arrested Development,1,People Everyday
3576,Das EFX,2,Mic Checka
3577,Grand Puba,3,360 Degrees (What Goes Around)
3578,MC Serch,4,Here It Comes/Back To The Grill
3579,Spice 1,5,Welcome To The Ghetto
3580,EPMD,6,Crossover
3581,Bushwick Bill,7,Ever So Clear
3582,Super Cat,8,Ghetto Red Hot
3583,Zhigge,9,Toss It Up
3584,Gang Starr,10,Ex Girl To The Next Girl
3585,Redman,11,Blow Your Mind
3586,The College Boyz,12,Hollywood Paradox
3587,House Of Pain,13,Jump Around
3588,DJ Quik,14,Jus Lyke Compton
3589,Double XX,15,Head Cracker
3590,M.C. Breed,16,Ain't Too Much Worried
3591,Chubb Rock,17,Lost In The Storm
3592,N2Deep,18,Back To The Hotel
3593,Luke,19,Breakdown
3594,Brothers Uv Da Blakmarket,20,Livin' In Da Bottle
3595,Nice & Smooth,21,Cake & Eat It Too
3596,M.C. Brains,22,Brainstorming/G-String
3597,Willie D,23,Clean Up Man
3598,MC Ren,24,The Final Frontier
3599,A.D.O.R.,25,Let It All Hang Out
3600,Das EFX,1,Mic Checka
3601,Arrested Development,2,People Everyday
3602,Grand Puba,3,360 Degrees (What Goes Around)
3603,MC Serch,4,Here It Comes/Back To The Grill
3604,Bushwick Bill,5,Ever So Clear
3605,Redman,6,Blow Your Mind
3606,Gang Starr,7,Ex Girl To The Next Girl
3607,Zhigge,8,Toss It Up
3608,EPMD,9,Crossover
3609,Spice 1,10,Welcome To The Ghetto
3610,Chubb Rock,11,Lost In The Storm
3611,M.C. Breed,12,Ain't Too Much Worried
3612,Willie D,13,Clean Up Man
3613,Wreckx-N-Effect,14,Rump Shaker
3614,House Of Pain,15,Jump Around
3615,DJ Quik,16,Jus Lyke Compton
3616,The College Boyz,17,Hollywood Paradox
3617,Super Cat,18,Ghetto Red Hot
3618,N2Deep,19,Back To The Hotel
3619,MC Ren,20,The Final Frontier
3620,Diamond & Psychotic Neurotics,21,Best Kept Secret
3621,Brothers Uv Da Blakmarket,22,Livin' In Da Bottle
3622,Cypress Hill,23,Latin Lingo
3623,Prince Markie Dee And The Soul Convention,24,Trippin' Out
3624,Nice & Smooth,25,Cake & Eat It Too
3625,Grand Puba,1,360 Degrees (What Goes Around)
3626,Das EFX,2,Mic Checka
3627,MC Serch,3,Here It Comes/Back To The Grill
3628,Bushwick Bill,4,Ever So Clear
3629,Arrested Development,5,People Everyday
3630,Redman,6,Blow Your Mind
3631,Gang Starr,7,Ex Girl To The Next Girl
3632,Zhigge,8,Toss It Up
3633,Chubb Rock,9,Lost In The Storm
3634,Wreckx-N-Effect,10,Rump Shaker
3635,Willie D,11,Clean Up Man
3636,EPMD,12,Crossover
3637,M.C. Breed,13,Ain't Too Much Worried
3638,Spice 1,14,Welcome To The Ghetto
3639,Cypress Hill,15,Latin Lingo
3640,Diamond & Psychotic Neurotics,16,Best Kept Secret
3641,MC Ren,17,The Final Frontier
3642,Prince Markie Dee And The Soul Convention,18,Trippin' Out
3643,Snow,19,Lonely Monday Morning
3644,Super Cat,20,Ghetto Red Hot
3645,N2Deep,21,Back To The Hotel
3646,Public Enemy,22,Hazy Shade Of Criminal
3647,Lords Of The Underground,23,Psycho/Check It
3648,Kris Kross,24,I Missed The Bus
3649,House Of Pain,25,Jump Around
3650,MC Serch,1,Here It Comes/Back To The Grill
3651,Grand Puba,2,360 Degrees (What Goes Around)
3652,Bushwick Bill,3,Ever So Clear
